epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.868,0.9119,1.3315,1.2746,0.73741,0.68902,0.76813,0.51473,1.1598,1.47464,1.28852,0.000662393,0.000662393,0.000662393
2,662.886,0.96625,1.05532,1.28893,0.55729,0.60421,0.58462,0.31941,1.39382,1.80114,1.47375,0.00106591,0.00106591,0.00106591
3,960.614,0.95207,0.99273,1.27382,0.82124,0.78229,0.8299,0.55114,0.99873,1.11935,1.12611,0.00120542,0.00120542,0.00120542
4,1257.93,0.86532,0.89888,1.22538,0.85378,0.82729,0.8945,0.65013,0.91246,0.83439,1.04795,0.000812,0.000812,0.000812
5,1555.49,0.7772,0.80533,1.17542,0.90871,0.86719,0.93672,0.7495,0.72505,0.65494,0.921,0.000416,0.000416,0.000416
