epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1342.49,0.89285,1.49162,1.43718,0.76776,0.68869,0.7362,0.38783,1.4538,1.91985,2.29536,0.000662393,0.000662393,0.000662393
2,2667.35,1.0224,1.23319,1.53855,0.77379,0.67356,0.75121,0.41229,1.41372,1.61959,2.1402,0.00130274,0.00130274,0.00130274
